id,title,city,country_id,latitude,longitude
1,MELBOURNE GRAND PRIX CIRCUIT,Melbourne,223,-37.85171,144.97301
2,BAHRAIN INTERNATIONAL CIRCUIT,,71,26.031137,50.513254
3,HANOI CIRCUIT,Hanoi,96,21.01479,105.764399
4,SHANGHAI INTERNATIONAL CIRCUIT,Shanghai,87,31.339316,121.221456
5,CIRCUIT ZANDVOORT,Zandvoort,15,52.387459,4.544202
6,CIRCUIT DE BARCELONA-CATALUNYA,,23,41.568106,2.257192
7,CIRCUIT DE MONACO,Monte Carlo,230,43.734434,7.421395
8,BAKU CITY CIRCUIT,Baku,61,40.372673,49.852495
9,CIRCUIT GILLES-VILLENEUVE,Montreal,153,45.503181,-73.526623
10,CIRCUIT PAUL RICARD,,21,43.251623,5.792839
11,RED BULL RING,Spielberg,27,47.220441,14.76518
12,SILVERSTONE CIRCUIT,,6,52.073254,1.014545
13,HUNGARORING,Budapest,32,47.581653,19.250772
14,CIRCUIT DE SPA-FRANCORCHAMPS,,16,50.436823,5.972007
15,AUTODROMO NAZIONALE MONZA,,42,45.621731,9.284843
16,MARINA BAY STREET CIRCUIT,,4,1.291346,103.863867
17,SOCHI AUTODROM,,47,43.409938,39.968941
18,SUZUKA INTERNATIONAL RACING COURSE,Ino,92,34.845541,136.538941
19,CIRCUIT OF THE AMERICAS,Austin,151,30.134544,-97.635787
20,AUTÓDROMO HERMANOS RODRÍGUEZ,Mexico City,161,19.403991,-99.089387
21,AUTÓDROMO JOSÉ CARLOS PACE,Sao Paulo,193,-23.701195,-46.697879
22,YAS MARINA CIRCUIT,,231,24.481184,54.615285
