0,Arctic/Longyearbyen,+0100
1,Europe/Oslo,+0100
2,Europe/Stockholm,+0100
3,Europe/Helsinki,+0200
4,Asia/Singapore,+0800
5,Europe/Mariehamn,+0200
6,Europe/London,+0000
7,Antarctica/Rothera,-0300
8,Europe/Isle_of_Man,+0000
9,Europe/Guernsey,+0000
10,Europe/Jersey,+0000
11,Europe/Dublin,+0000
12,Atlantic/Reykjavik,+0000
13,America/Thule,-0400
14,America/Godthab,-0300
15,America/Danmarkshavn,+0000
16,America/Scoresbysund,-0100
17,Atlantic/Faroe,+0000
18,Europe/Copenhagen,+0100
19,Europe/Amsterdam,+0100
20,Europe/Brussels,+0100
21,Europe/Luxembourg,+0100
22,Europe/Berlin,+0100
23,Europe/Zurich,+0100
24,Europe/Vaduz,+0100
25,Europe/Paris,+0100
26,Atlantic/Madeira,+0000
27,Europe/Madrid,+0100
28,Europe/Gibraltar,+0100
29,Atlantic/Azores,-0100
30,Europe/Lisbon,+0000
31,Atlantic/Cape_Verde,-0100
32,Europe/Vienna,+0100
33,Europe/Prague,+0100
34,Pacific/Enderbury,+1300
35,Europe/Bratislava,+0100
36,Europe/Warsaw,+0100
37,Europe/Budapest,+0100
38,Europe/Ljubljana,+0100
39,Europe/Belgrade,+0100
40,Europe/Zagreb,+0100
41,Europe/Sarajevo,+0100
42,Europe/Podgorica,+0100
43,Europe/Skopje,+0100
44,Europe/Tirane,+0100
45,Europe/Bucharest,+0200
46,Europe/Sofia,+0200
47,Europe/Rome,+0100
48,Europe/Malta,+0100
49,Europe/Athens,+0200
50,Europe/Istanbul,+0300
51,Asia/Famagusta,+0200
52,Asia/Nicosia,+0200
53,Europe/Moscow,+0300
54,Asia/Krasnoyarsk,+0700
55,Asia/Yekaterinburg,+0500
56,Asia/Vladivostok,+1000
57,Asia/Yakutsk,+0900
58,Asia/Srednekolymsk,+1100
59,Asia/Anadyr,+1200
60,Asia/Tomsk,+0700
61,Asia/Khandyga,+0900
62,Asia/Magadan,+1100
63,Asia/Irkutsk,+0800
64,Asia/Kamchatka,+1200
65,Europe/Tallinn,+0200
66,Europe/Minsk,+0300
67,Europe/Riga,+0200
68,Europe/Vilnius,+0200
69,Africa/Bujumbura,+0200
70,Europe/Kaliningrad,+0200
71,Europe/Kirov,+0300
72,Europe/Ulyanovsk,+0400
73,Europe/Samara,+0400
74,Asia/Omsk,+0600
75,Asia/Almaty,+0600
76,Asia/Qostanay,+0600
77,Asia/Novosibirsk,+0700
78,Asia/Novokuznetsk,+0700
79,Asia/Barnaul,+0700
80,Asia/Chita,+0900
81,Asia/Shanghai,+0800
82,Asia/Sakhalin,+1100
83,Asia/Ust-Nera,+1000
84,Europe/Kiev,+0200
85,Europe/Uzhgorod,+0200
86,Europe/Chisinau,+0200
87,Europe/Simferopol,+0300
88,Europe/Saratov,+0400
89,Europe/Volgograd,+0400
90,Asia/Oral,+0500
91,Europe/Astrakhan,+0400
92,Europe/Zaporozhye,+0200
93,Asia/Atyrau,+0500
94,Asia/Aqtobe,+0500
95,Asia/Yerevan,+0400
96,Asia/Qyzylorda,+0500
97,Asia/Aqtau,+0500
98,Asia/Bishkek,+0600
99,Asia/Tbilisi,+0400
100,Asia/Baku,+0400
101,Asia/Samarkand,+0500
102,Asia/Ashgabat,+0500
103,Asia/Dushanbe,+0500
104,Asia/Tashkent,+0500
105,Asia/Damascus,+0200
106,Asia/Beirut,+0200
107,Asia/Jerusalem,+0200
108,Asia/Hebron,+0200
109,Asia/Amman,+0200
110,Asia/Riyadh,+0300
111,Asia/Bahrain,+0300
112,Asia/Qatar,+0300
113,Asia/Dubai,+0400
114,Asia/Kuwait,+0300
115,Asia/Muscat,+0400
116,Asia/Aden,+0300
117,Asia/Baghdad,+0300
118,Asia/Tehran,+0330
119,Asia/Kabul,+0430
120,Asia/Karachi,+0500
121,Asia/Dhaka,+0600
122,Asia/Kolkata,+0530
123,Asia/Colombo,+0530
124,Indian/Maldives,+0500
125,Asia/Ulaanbaatar,+0800
126,Asia/Hovd,+0700
127,Asia/Choibalsan,+0800
128,Asia/Hong_Kong,+0800
129,Asia/Macau,+0800
130,Asia/Taipei,+0800
131,Asia/Pyongyang,+0900
132,Asia/Seoul,+0900
133,Asia/Tokyo,+0900
134,Asia/Yangon,+0630
